request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"The requested amount is 43900 INR, and 43900 INR is safe to pay, so the affordability status is affordable_now with a recommended full_payment; the payment plan is 2025-08-06:43900, and the earliest date for full payment is 2025-08-06. A minimum balance of 99700 INR should be kept, and spending changes needed are none."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"The requested amount of 2191000 IDR is affordable now, and since the amount safe to pay is 2191000 IDR, full payment is recommended, with the earliest date for full payment being 2026-01-03 and the payment plan set as 2026-01-03:2191000. No spending changes are needed and the minimum balance to keep is 7811000 IDR."
request_52,23304.11,affordable_later,wait,2024-06-17:28870,2024-06-17,none,"The requested amount is 28870 INR, but only 23304.11 INR is safe to pay, so the affordability status is affordable_later and the recommended payment method is wait. The payment plan is 2024-06-17:28870, the earliest date for full payment is 2024-06-17, and you must keep a minimum balance of 41500 INR with no spending changes needed."
request_53,569.39,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-14,none,requested_amount=1699.20 USD; amount_safe_to_pay=569.39 USD; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06; minimum_balance_to_keep=2100 USD; spending_changes_needed=none; earliest_date_for_full_payment=2026-01-14.
request_54,2064.79,not_affordable,not_recommended,none,,none,"The requested amount is 121528 ZAR, and although the amount safe to pay is 2064.79 ZAR, the affordability status is not_affordable; the recommended payment method is not_recommended, the payment plan is none, the minimum balance to keep is 37000 ZAR, and no spending changes are needed."
request_55,125909.04,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-17,reduce_to:event_5167:2750,requested_amount=218600 INR; amount_safe_to_pay=125909.04 INR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33; minimum_balance_to_keep=124300 INR; spending_changes_needed=reduce_to:event_5167:2750; earliest_date_for_full_payment=2026-08-17.
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,"The requested amount is 881.56 USD and the amount safe to pay is 881.56 USD; the affordability status is affordable_with_plan, so the recommended payment method is installments with a payment plan of 458.42 USD on 2025-02-03 and 458.42 USD on 2025-03-03, while keeping a minimum balance of 2100 USD, with no spending changes needed, and the earliest date for full payment is 2025-02-03."
request_57,12657.18,affordable_later,wait,2026-06-17:61446,2026-06-17,none,"The requested amount is 61446 ZAR, but the amount safe to pay is 12657.18 ZAR, and the affordability status is affordable_later. The recommended payment method is to wait, with a payment plan of 2026-06-17:61446, a minimum balance to keep of 42700 ZAR, no spending changes needed, and the earliest date for full payment of 2026-06-17."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"The requested amount of 16226000 IDR is affordable now, and 16226000 IDR is safe to pay, so the recommended payment method is full payment. The payment plan is 16226000 IDR on 2024-12-07, which is also the earliest date for full payment, while keeping a minimum balance of 14433900 IDR and with no spending changes needed."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"You requested 140600 INR, and 140600 INR is safe to pay, with affordability status affordable_with_plan, so the recommended payment method is installments: 48741.33 INR on 2025-05-07, 48741.33 INR on 2025-06-04, and 48741.33 INR on 2025-07-02, while keeping a minimum balance of 132600 INR, with no spending changes needed; the earliest date for full payment is 2025-05-04."
request_60,0,not_affordable,not_recommended,none,,none,"The requested amount is 199.89 USD, but the amount safe to pay is 0 USD, so the affordability status is not affordable; no payment method is recommended, there is no payment plan, the minimum balance to keep is 400 USD, and no spending changes are needed."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"You requested 29,062 ZAR, which is also the amount safe to pay, with an affordability status of affordable_with_plan, installments recommended, and no spending changes needed. The payment plan is 10,074.83 ZAR on 2024-03-17, 10,074.83 ZAR on 2024-04-17, and 10,074.83 ZAR on 2024-05-18, while the minimum balance to keep is 36,700 ZAR and the earliest date for full payment is 2024-03-03."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"The requested amount is 404.23 USD, which is safe to pay, and the affordability status is affordable now, so full payment is recommended. The payment plan is 2025-08-05:404.23, the earliest date for full payment is 2025-08-05, the minimum balance to keep is 1300 USD, and no spending changes are needed."
request_63,39906.07,not_affordable,not_recommended,none,,none,"The requested amount is 343900 INR, but only 39906.07 INR is safe to pay, so the affordability status is not_affordable. The recommended payment method is not_recommended, there is no payment plan, the minimum balance to keep is 153500 INR, and no spending changes are needed."
request_64,0,not_affordable,not_recommended,none,,none,"The requested amount is 63700 INR, but the amount safe to pay is 0 INR, and the affordability status is not_affordable. The recommended payment method is not_recommended, the payment plan is none, the minimum balance to keep is 36100 INR, and spending changes needed are none."
request_65,12284.80,not_affordable,not_recommended,none,2026-01-06,none,requested_amount=54340 ZAR; amount_safe_to_pay=12284.80 ZAR; affordability_status=not_affordable; recommended_payment_method=not_recommended; payment_plan=none; minimum_balance_to_keep=15500 ZAR; spending_changes_needed=none; earliest_date_for_full_payment=2026-01-06.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"The requested amount of 22,200 INR is equal to the amount safe to pay, and with an affordability status of affordable_now, the recommended payment method is full_payment under a payment plan of 2026-04-03: 22,200 INR; the minimum balance to keep is 80,700 INR, no spending changes are needed, and the earliest date for full payment is 2026-04-03."
request_67,274.95,affordable_later,wait,2024-11-18:2094,2024-11-18,none,"You requested 2094 USD, but it is safe to pay 274.95 USD now; the affordability status is affordable_later, so the recommended payment method is to wait. The payment plan is 2024-11-18:2094, which is also the earliest date for full payment, while keeping a minimum balance of 1200 USD and with no spending changes needed."
request_68,1361.56,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-25,none,requested_amount=2091.60 USD; amount_safe_to_pay=1361.56 USD; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09; minimum_balance_to_keep=1500 USD; spending_changes_needed=none; earliest_date_for_full_payment=2025-03-25.
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,"The requested amount is 529.10 EUR, and 529.10 EUR is safe to pay now, so the affordability status is affordable_now. Full_payment is recommended, with the payment plan and earliest date for full payment both on 2026-01-04 for 529.10 EUR; the minimum balance to keep is 700 EUR, and no spending changes are needed."
request_70,49475.42,affordable_later,wait,2025-02-20:243900,2025-02-20,none,"The requested amount is 243900 INR, but only 49475.42 INR is safe to pay; the affordability status is affordable_later, the recommended payment method is wait, and the payment plan is 243900 INR on 2025-02-20, with a minimum balance of 115000 INR to keep, no spending changes needed, and the earliest date for full payment also being 2025-02-20."
request_71,77785.41,not_affordable,not_recommended,none,,none,"You requested 21,451,000 IDR, but the amount safe to pay is only 77,785.41 IDR, so this is not affordable, the recommended payment method is not recommended, there is no payment plan, the minimum balance to keep is 8,884,800 IDR, and no spending changes are needed."
request_72,0,not_affordable,not_recommended,none,,none,"The requested amount is 11,330 ZAR, but the amount safe to pay is 0 ZAR, so the affordability status is not affordable; no payment plan is available, the recommended payment method is not recommended, the minimum balance to keep is 12,200 ZAR, and no spending changes are needed."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"The requested amount of 71400 INR is affordable now, and 71400 INR is safe to pay, so full payment is recommended, with the payment plan being 71400 INR on 2023-01-20, which is also the earliest date for full payment; a minimum balance of 103200 INR should be kept, and no spending changes are needed."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"The requested amount is 5010 ZAR, which is also safe to pay and is considered affordable now, so the recommended payment method is a full payment on 2025-08-04 of 5010 ZAR, the earliest date for full payment, while keeping a minimum balance of 21900 ZAR and requiring no spending changes."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"The requested amount of 28270 ZAR is also the amount safe to pay, and the affordability status is affordable_with_plan; the recommended payment method is installments with a payment plan of 2026-04-09: 9800.27 ZAR, 2026-05-09: 9800.27 ZAR, and 2026-06-08: 9800.27 ZAR. A minimum balance of 39000 ZAR must be kept, no spending changes are needed, and the earliest date for full payment is 2026-04-06."
request_76,1538.80,not_affordable,not_recommended,none,2024-07-04,none,requested_amount=4455.60 USD; amount_safe_to_pay=1538.80 USD; affordability_status=not_affordable; recommended_payment_method=not_recommended; payment_plan=none; minimum_balance_to_keep=1800 USD; spending_changes_needed=none; earliest_date_for_full_payment=2024-07-04.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"The requested amount is 60,700 INR and 60,700 INR is safe to pay, so the affordability status is affordable now. The recommended payment method is full payment, with a payment plan of 60,700 INR on 2025-11-05, which is also the earliest date for full payment; keep a minimum balance of 82,200 INR and no spending changes are needed."
request_78,46080.34,affordable_later,wait,2025-11-20:50200,2025-11-20,none,"The requested amount is 50200 INR, but the amount safe to pay is 46080.34 INR, so affordability is affordable_later and the recommended payment method is wait. The payment plan is 2025-11-20:50200, the minimum balance to keep is 55200 INR, no spending changes are needed, and the earliest date for full payment is 2025-11-20."
request_79,543.58,not_affordable,not_recommended,none,,none,"The requested amount is 2151.60 EUR, but the amount safe to pay is 543.58 EUR, so the affordability status is not_affordable and the recommended payment method is not_recommended. There is no payment plan, the minimum balance to keep is 1000 EUR, and no spending changes are needed."
request_80,143465,not_affordable,not_recommended,none,2025-03-10,none,requested_amount=217500 INR; amount_safe_to_pay=143465 INR; affordability_status=not_affordable; recommended_payment_method=not_recommended; payment_plan=none; minimum_balance_to_keep=121300 INR; spending_changes_needed=none; earliest_date_for_full_payment=2025-03-10.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"The requested amount is 2076 USD, and it is safe to pay 2076 USD, so the affordability status is affordable_now with a recommended payment method of full_payment. The payment plan is 2026-07-03:2076, the earliest date for full payment is 2026-07-03, the minimum balance to keep is 1600 USD, and no spending changes are needed."
request_82,1069.40,affordable_later,wait,2024-12-08:1405.20,2024-12-08,none,"The requested amount is 1405.20 USD, while the amount safe to pay is 1069.40 USD; affordability status is affordable_later, so the recommended payment method is wait, with a payment plan on 2024-12-08 of 1405.20 USD. You need to keep a minimum balance of 1100 USD, no spending changes are needed, and the earliest date for full payment is 2024-12-08."
request_83,0,not_affordable,not_recommended,none,,none,"The requested amount is 156200 INR, but the amount safe to pay is 0 INR, so the affordability status is not affordable. The recommended payment method is not recommended, the payment plan is none, the minimum balance to keep is 37800 INR, and no spending changes are needed."
request_84,34638.22,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"You requested 95400 INR, but only 34638.22 INR is safe to pay, so the affordability status is affordable_later and the recommended payment method is wait. The payment plan is 95400 INR on 2026-06-15, which is also the earliest date for full payment, while keeping a minimum balance of 91300 INR and making no spending changes."
request_85,374061.81,not_affordable,not_recommended,none,,none,"You requested 19,304,000 IDR, but only 374,061.81 IDR is safe to pay, so the request is not affordable and the payment method is not recommended, with no payment plan; you need to keep a minimum balance of 6,396,300 IDR and no spending changes are needed."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"The requested amount is 46300 INR, and 46300 INR is safe to pay, so the affordability status is affordable_now. The recommended payment method is full_payment, with a payment plan of 2025-08-03:46300 and an earliest date for full payment of 2025-08-03. A minimum balance of 84900 INR should be kept, and no spending changes are needed."
request_87,0,not_affordable,not_recommended,none,,none,"The requested amount of 487900 INR is not affordable, and the amount safe to pay is 0 INR, so the recommended payment method is not recommended. There is no payment plan, the minimum balance to keep is 185900 INR, and no spending changes are needed."
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-23,none,requested_amount=26092 ZAR; amount_safe_to_pay=10497.62 ZAR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23; minimum_balance_to_keep=25800 ZAR; spending_changes_needed=none; earliest_date_for_full_payment=2024-07-23.
request_89,9226703.57,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2026-01-18,reduce_to:event_8403:203300|reduce_to:event_8337:266760|stop:event_8335,requested_amount=13756000 IDR; amount_safe_to_pay=9226703.57 IDR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67; minimum_balance_to_keep=12534700 IDR; spending_changes_needed=reduce_to:event_8403:203300|reduce_to:event_8337:266760|stop:event_8335; earliest_date_for_full_payment=2026-01-18.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"The requested amount is 2560 ZAR and 2560 ZAR is safe to pay, so affordability_status is affordable_now and recommended_payment_method is full_payment. The payment_plan is 2026-07-06:2560 and the earliest_date_for_full_payment is 2026-07-06, while minimum_balance_to_keep is 7600 ZAR and spending_changes_needed is none."
request_91,455.10,affordable_later,wait,2024-11-16:1927.20,2024-11-16,none,"The requested amount is 1927.20 EUR, while the amount safe to pay is 455.10 EUR, so the affordability status is affordable_later and the recommended payment method is wait. The payment plan is 2024-11-16:1927.20, with a minimum balance to keep of 2100 EUR, no spending changes needed, and the earliest date for full payment is 2024-11-16."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"You requested 34034 ZAR, and 34034 ZAR is safe to pay, so the affordability status is affordable_now. The recommended payment method is full_payment, with a payment plan of 34034 ZAR on 2025-02-05 and an earliest date for full payment of 2025-02-05, while keeping a minimum balance of 28100 ZAR and with no spending changes needed."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"The requested amount is 1729.20 USD, and 1729.20 USD is safe to pay, so the affordability status is affordable now. The recommended payment method is full payment, with a payment plan of 2026-04-07:1729.20 and a minimum balance to keep of 1900 USD. No spending changes are needed, and the earliest date for full payment is 2026-04-07."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,"The requested amount is 572 EUR, and 572 EUR is safe to pay, so the affordability status is affordable_now; the recommended payment method is full_payment, with a payment plan of 2024-12-04:572 and an earliest date for full payment of 2024-12-04, while keeping a minimum balance of 600 EUR and no spending changes needed."
request_95,4013.74,not_affordable,not_recommended,none,,none,"You requested 553000 INR, but only 4013.74 INR is safe to pay, so the affordability status is not affordable; the recommended payment method is not recommended, there is no payment plan, you need to keep a minimum balance of 145500 INR, and no spending changes are needed."
request_96,74311.34,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-18,none,requested_amount=90200 INR; amount_safe_to_pay=74311.34 INR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33; minimum_balance_to_keep=56500 INR; spending_changes_needed=none; earliest_date_for_full_payment=2026-02-18.
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-21,none,requested_amount=23496 ZAR; amount_safe_to_pay=1833.87 ZAR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28; minimum_balance_to_keep=29700 ZAR; spending_changes_needed=none; earliest_date_for_full_payment=2024-04-21.
request_98,7734.92,not_affordable,not_recommended,none,,none,"The requested amount is 27148 ZAR, but the amount safe to pay is 7734.92 ZAR, and the affordability status is not_affordable. The recommended payment method is not_recommended, the payment plan is none, the minimum balance to keep is 30000 ZAR, and spending changes needed are none."
request_99,16890.90,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-19,reduce_to:event_9232:1065.90,requested_amount=18062 ZAR; amount_safe_to_pay=16890.90 ZAR; affordability_status=affordable_with_plan; recommended_payment_method=full_payment; payment_plan=2026-07-04:18062; minimum_balance_to_keep=49100 ZAR; spending_changes_needed=reduce_to:event_9232:1065.90; earliest_date_for_full_payment=2026-07-19.
request_100,27631.84,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-17,none,requested_amount=37114 ZAR; amount_safe_to_pay=27631.84 ZAR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19; minimum_balance_to_keep=32500 ZAR; spending_changes_needed=none; earliest_date_for_full_payment=2024-06-17.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,requested_amount=143500 INR; amount_safe_to_pay=143500 INR; affordability_status=affordable_now; recommended_payment_method=full_payment; payment_plan=2025-11-03:143500; minimum_balance_to_keep=187400 INR; spending_changes_needed=none; earliest_date_for_full_payment=2025-11-03.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Your requested amount of 1716 EUR is affordable with a plan and equals the amount safe to pay, so the recommended payment method is installments: 594.88 EUR on 2026-04-05, 594.88 EUR on 2026-05-05, and 594.88 EUR on 2026-06-04, while keeping a minimum balance of 900 EUR; no spending changes are needed, and the earliest date for full payment is 2026-04-05."
request_103,7821.76,not_affordable,not_recommended,none,,none,"You requested 368300 INR, but only 7821.76 INR is safe to pay, making the affordability status not_affordable. The recommended payment method is not_recommended, there is no payment plan, you must keep a minimum balance of 125500 INR, and no spending changes are needed."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"The requested amount is 17204 ZAR and the amount safe to pay is 17204 ZAR; affordability status is affordable now, so the recommended payment method is full payment. The payment plan is 2025-02-04:17204 and the earliest date for full payment is 2025-02-04. Spending changes needed are none and the minimum balance to keep is 24700 ZAR."
request_105,19669.23,affordable_with_plan,installments,2026-06-11:9630|2026-07-09:9630|2026-08-06:9630|2026-09-03:9630|2026-10-01:9630|2026-10-29:9630,,reduce_to:event_9720:1632|reduce_to:event_9721:1720,requested_amount=53500 INR; amount_safe_to_pay=19669.23 INR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2026-06-11:9630|2026-07-09:9630|2026-08-06:9630|2026-09-03:9630|2026-10-01:9630|2026-10-29:9630; minimum_balance_to_keep=73900 INR; spending_changes_needed=reduce_to:event_9720:1632|reduce_to:event_9721:1720.
request_106,440.12,affordable_later,wait,2025-02-17:2207.70,2025-02-17,none,"The requested amount is 2207.70 EUR, while the amount safe to pay is 440.12 EUR, and the affordability status is affordable_later, so the recommended payment method is wait; the payment plan is 2025-02-17:2207.70, which is also the earliest date for full payment, with a minimum balance to keep of 1200 EUR and no spending changes needed."
request_107,0,not_affordable,not_recommended,none,,none,"The requested amount is 2534.40 EUR, but only 0 EUR is safe to pay, so the affordability status is not_affordable. The recommended payment method is not_recommended, there is no payment plan, the minimum balance to keep is 1600 EUR, and no spending changes are needed."
request_108,7836.40,affordable_later,wait,2026-08-07:55308,2026-08-07,none,"You requested 55308 ZAR, and 7836.40 ZAR is safe to pay now; the affordability status is affordable later, so the recommended payment method is to wait. The payment plan is 55308 ZAR on 2026-08-07, which is also the earliest date for full payment, while the minimum balance to keep is 24100 ZAR and no spending changes are needed."
request_109,556.70,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-17,stop:event_10081|stop:event_10080,requested_amount=1863.40 EUR; amount_safe_to_pay=556.70 EUR; affordability_status=affordable_with_plan; recommended_payment_method=installments; payment_plan=2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98; minimum_balance_to_keep=1700 EUR; spending_changes_needed=stop:event_10081|stop:event_10080; earliest_date_for_full_payment=2024-05-17.
